Method,Parameter Types,Param Sizes,Total Param Size
"pt.ist.socialsoftware.edition.ldod.frontend.virtual.VirtualEditionController.removeParticipant(org.springframework.web.servlet.mvc.support.RedirectAttributes, pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession, java.lang.String, java.lang.String): java.lang.String","['org.springframework.web.servlet.mvc.support.RedirectAttributes', 'pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession', 'java.lang.String', 'java.lang.String']","[16, 24, 24, 24]",88
pt.ist.socialsoftware.edition.user.domain.UserModule_Base.getTokenSet() : java.util.Set,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Section_Base$2.Section_Base$2(),[],[],0
"pt.ist.socialsoftware.edition.text.domain.AltText_Base.readStateFromResultSet(java.sql.ResultSet, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.sql.ResultSet', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter_Base$1.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.socialsoftware.edition.text.domain.ExpertEditionInter_Base.setStartPage(int): void,['int'],[4],4
pt.ist.socialsoftware.edition.virtual.domain.Tweet.role$$citation,[],[],0
pt.ist.socialsoftware.edition.search.api.dto.ExpertEditionForSearchDto.setBeginDate(int): void,['int'],[4],4
pt.ist.socialsoftware.edition.virtual.domain.VirtualEditionInter_Base.getAnnotationSet() : java.util.Set,[],[],0
"pt.ist.socialsoftware.edition.user.domain.Role_Base.access$000(pt.ist.socialsoftware.edition.user.domain.Role_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.socialsoftware.edition.user.domain.Role_Base', 'boolean']","[16, 1]",17
pt.ist.socialsoftware.edition.ldod.frontend.user.security.UserModuleAuthenticationSuccessHandler$callable$onAuthenticationSuccess.arg1,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.game.FeGameRequiresInterface.importGamesFromTEI(java.io.InputStream): void,['java.io.InputStream'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.utils.enums.Role_Type.values() : pt.ist.socialsoftware.edition.ldod.frontend.utils.enums.Role_Type[],[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.virtual.FeVirtualRequiresInterface.userProvidesInterface,[],[],0
pt.ist.socialsoftware.edition.user.domain.User_Base$UsersAndRoles.static {},[],[],0
"pt.ist.socialsoftware.edition.text.domain.ScholarEdition_Base.set$acronym(java.lang.String, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.lang.String', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[24, 16]",40
pt.ist.fenixframework.adt.bplustree.AbstractNode_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
pt.ist.socialsoftware.edition.text.domain.HandNote_Base$DO_State.HandNote_Base$DO_State(),[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base$ScholarInterHasAnnexNote.ScholarInter_Base$ScholarInterHasAnnexNote(),[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.reading.FeReadingRequiresInterface.getFragmentDtoSet(): java.util.Set,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.text.FeTextRequiresInterface.getLoadTEIFragmentsStepByStep(java.io.InputStream): java.lang.String,['java.io.InputStream'],[16],16
pt.ist.socialsoftware.edition.user.domain.RegistrationToken_Base$DO_State.RegistrationToken_Base$DO_State(),[],[],0
pt.ist.socialsoftware.edition.text.domain.ManuscriptSource_Base.setNotes(java.lang.String) : void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.Fragment_Base$3.getSet(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.dml.runtime.RelationBaseSet,['pt.ist.fenixframework.DomainObject'],[16],16
pt.ist.socialsoftware.edition.text.domain.NullEdition_Base$1.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.ui.FragInterDto$InterType.AUTHORIAL,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.LastTwitterID_Base.init$Instance(boolean): void,['boolean'],[1],1
pt.ist.socialsoftware.edition.ldod.frontend.utils.ui.FragInterDto.setType(pt.ist.socialsoftware.edition.ldod.frontend.utils.ui.FragInterDto$InterType): void,['pt.ist.socialsoftware.edition.ldod.frontend.utils.ui.FragInterDto$InterType'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.get$xmlId(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Frequency_Base.init$Instance(boolean): void,['boolean'],[1],1
pt.ist.socialsoftware.edition.ldod.frontend.search.SearchController.initBinder(org.springframework.web.bind.WebDataBinder) : void,['org.springframework.web.bind.WebDataBinder'],[16],16
pt.ist.fenixframework.adt.bplustree.LeafNodeArray_Base.setPrevious(pt.ist.fenixframework.adt.bplustree.LeafNodeArray) : void,['pt.ist.fenixframework.adt.bplustree.LeafNodeArray'],[16],16
pt.ist.socialsoftware.edition.text.domain.ExpertEdition_Base.getEditor(): java.lang.String,[],[],0
pt.ist.fenixframework.adt.bplustree.BPlusTree_Base$DO_State.root,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.game.validator.ClassificationGameValidator.validate() : void,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.ui.FragInterDto.urlId,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base$UserSelectsVirtualEditions.relation,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base.get$oidLastChildText(): java.lang.Long,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.virtual.FeVirtualRequiresInterface.getCitationsWithInfoRanges() : java.util.List,[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter.getRelationScholarInterHasAnnexNote(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.socialsoftware.edition.text.domain.Surface_Base$PbTextSurface.Surface_Base$PbTextSurface(),[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.domain.UiComponent_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
pt.ist.fenixframework.DomainRoot_Base.setRecommendationModule(pt.ist.socialsoftware.edition.recommendation.domain.RecommendationModule) : void,['pt.ist.socialsoftware.edition.recommendation.domain.RecommendationModule'],[16],16
"pt.ist.socialsoftware.edition.virtual.domain.GeographicLocation_Base.set$country(java.lang.String, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.lang.String', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[24, 16]",40
pt.ist.socialsoftware.edition.text.domain.Fragment_Base.set$refText(pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper): void,['pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper'],[16],16
"pt.ist.socialsoftware.edition.virtual.domain.VirtualModule_Base.access$100(pt.ist.socialsoftware.edition.virtual.domain.VirtualModule_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.socialsoftware.edition.virtual.domain.VirtualModule_Base', 'boolean']","[16, 1]",17
"pt.ist.socialsoftware.edition.text.domain.SpaceText_Base.readStateFromResultSet(java.sql.ResultSet, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.sql.ResultSet', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
"pt.ist.socialsoftware.edition.ldod.frontend.text.EditionController.getTaxonomyTableOfContents(org.springframework.ui.Model, java.lang.String): java.lang.String","['org.springframework.ui.Model', 'java.lang.String']","[16, 24]",40
pt.ist.socialsoftware.edition.ldod.frontend.utils.Bootstrap.ARS,[],[],0
pt.ist.socialsoftware.edition.user.domain.Role_Base.setUserModule(pt.ist.socialsoftware.edition.user.domain.UserModule) : void,['pt.ist.socialsoftware.edition.user.domain.UserModule'],[16],16
pt.ist.socialsoftware.edition.text.domain.AltText_Base.getAltTextWeightSet() : java.util.Set,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.config.Application.Application(),[],[],0
"pt.ist.socialsoftware.edition.text.domain.RefText_Base.readStateFromResultSet(java.sql.ResultSet, pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void","['java.sql.ResultSet', 'pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State']","[16, 16]",32
pt.ist.socialsoftware.edition.text.domain.Fragment_Base.set$citation(pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper): void,['pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.user.validator.ChangePasswordValidator.logger,[],[],0
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base.removeRend(pt.ist.socialsoftware.edition.text.domain.Rend): void,['pt.ist.socialsoftware.edition.text.domain.Rend'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.LastTwitterID_Base.setVirtualModule(pt.ist.socialsoftware.edition.virtual.domain.VirtualModule) : void,['pt.ist.socialsoftware.edition.virtual.domain.VirtualModule'],[16],16
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.setProviderUserId(java.lang.String): void,['java.lang.String'],[24],24
io.jsonwebtoken.SignatureAlgorithm.HS512,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.validator.AbstractLdoDValidator.errors,[],[],0
pt.ist.fenixframework.adt.bplustree.BPlusTreeArray_Base.role$$root,[],[],0
pt.ist.socialsoftware.edition.text.domain.ManuscriptSource.role$$handNote,[],[],0
pt.ist.fenixframework.DomainRoot_Base.setClassificationModule(pt.ist.socialsoftware.edition.game.domain.ClassificationModule) : void,['pt.ist.socialsoftware.edition.game.domain.ClassificationModule'],[16],16
pt.ist.fenixframework.DomainRoot_Base$3.getValue(pt.ist.fenixframework.DomainRoot): pt.ist.fenixframework.data.InstallationData,['pt.ist.fenixframework.DomainRoot'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.checkMultiplicityOfSections() : boolean,[],[],0
pt.ist.socialsoftware.edition.text.domain.Heteronym_Base$3.getValue(pt.ist.socialsoftware.edition.text.domain.Heteronym): pt.ist.socialsoftware.edition.text.domain.TextModule,['pt.ist.socialsoftware.edition.text.domain.Heteronym'],[16],16
pt.ist.socialsoftware.edition.text.domain.NullEdition_Base$1.getValue(pt.ist.socialsoftware.edition.text.domain.NullEdition): pt.ist.socialsoftware.edition.text.domain.TextModule,['pt.ist.socialsoftware.edition.text.domain.NullEdition'],[16],16
pt.ist.fenixframework.adt.bplustree.LeafNodeArray_Base.setPrevious(pt.ist.fenixframework.adt.bplustree.LeafNodeArray): void,['pt.ist.fenixframework.adt.bplustree.LeafNodeArray'],[16],16
pt.ist.socialsoftware.edition.ldod.frontend.search.FeSearchRequiresInterface.getSourceOfSourceInter(java.lang.String): pt.ist.socialsoftware.edition.text.api.dto.SourceDto,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.api.TextProvidesInterface.LoadTEICorpus(java.io.InputStream): void,['java.io.InputStream'],[16],16
pt.ist.socialsoftware.edition.search.api.dto.AuthoralForSearchDto.setDates(pt.ist.socialsoftware.edition.search.api.dto.DatesForSearchDto): void,['pt.ist.socialsoftware.edition.search.api.dto.DatesForSearchDto'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.Tag_Base$Tag2VirtualEditionInter.relation,[],[],0
pt.ist.socialsoftware.edition.text.domain.Citation_Base.set$infoRange(pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper): void,['pt.ist.fenixframework.backend.jvstmojb.ojb.OJBFunctionalSetWrapper'],[16],16
"pt.ist.socialsoftware.edition.ldod.frontend.utils.controller.LdoDExceptionHandler.handleAnyException(javax.servlet.http.HttpServletRequest, java.lang.Exception): org.springframework.web.servlet.ModelAndView","['javax.servlet.http.HttpServletRequest', 'java.lang.Exception']","[16, 40]",56
"pt.ist.socialsoftware.edition.ldod.frontend.domain.EditionModule_Base$1.setValue(pt.ist.fenixframework.DomainObject, pt.ist.fenixframework.DomainObject): void","['pt.ist.fenixframework.DomainObject', 'pt.ist.fenixframework.DomainObject']","[16, 16]",32
pt.ist.socialsoftware.edition.game.domain.ClassificationGame_Base.removeClassificationGameParticipant(pt.ist.socialsoftware.edition.game.domain.ClassificationGameParticipant): void,['pt.ist.socialsoftware.edition.game.domain.ClassificationGameParticipant'],[16],16
pt.ist.socialsoftware.edition.virtual.domain.VirtualModule_Base.removeTweet(pt.ist.socialsoftware.edition.virtual.domain.Tweet) : void,['pt.ist.socialsoftware.edition.virtual.domain.Tweet'],[16],16
pt.ist.fenixframework.DomainBPlusTreeData_Base.get$$relationFor(java.lang.String): pt.ist.fenixframework.dml.runtime.Relation,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.text.domain.Surface_Base.handleAttemptToDeleteConnectedObject(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.user.domain.UserConnection_Base.getImageUrl() : java.lang.String,[],[],0
org.springframework.security.config.annotation.web.configuration.WebSecurityConfigurerAdapter.authenticationManagerBean(): org.springframework.security.authentication.AuthenticationManager,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.user.dto.JWTAuthenticationDto.getTokenType(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.PrintedSource_Base$DO_State.startPage,[],[],0
"pt.ist.socialsoftware.edition.text.domain.TextPortion_Base$9.setValue(pt.ist.socialsoftware.edition.text.domain.TextPortion, pt.ist.socialsoftware.edition.text.domain.TextPortion): void","['pt.ist.socialsoftware.edition.text.domain.TextPortion', 'pt.ist.socialsoftware.edition.text.domain.TextPortion']","[16, 16]",32
pt.ist.socialsoftware.edition.ldod.frontend.virtual.FeVirtualRequiresInterface.searchForAwareAnnotations(java.lang.String): void,['java.lang.String'],[24],24
pt.ist.socialsoftware.edition.virtual.domain.Range_Base$DO_State.copyTo(pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State): void,['pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State'],[16],16
"pt.ist.fenixframework.DomainRoot_Base$4.setValue(pt.ist.fenixframework.DomainRoot, pt.ist.socialsoftware.edition.virtual.domain.VirtualModule): void","['pt.ist.fenixframework.DomainRoot', 'pt.ist.socialsoftware.edition.virtual.domain.VirtualModule']","[16, 16]",32
pt.ist.socialsoftware.edition.text.domain.NullEdition_Base.checkDisconnected(): void,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.domain.Option.deleteDomainObject(): void,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.domain.Menu_Base$1.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.utils.LdoDException.LdoDException(),[],[],0
pt.ist.socialsoftware.edition.text.domain.Facsimile_Base$2.getValue(pt.ist.fenixframework.DomainObject): pt.ist.fenixframework.DomainObject,['pt.ist.fenixframework.DomainObject'],[16],16
"pt.ist.socialsoftware.edition.ldod.frontend.virtual.VirtualEditionController.deleteVirtualEdition(org.springframework.ui.Model, pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession, java.lang.String) : java.lang.String","['org.springframework.ui.Model', 'pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession', 'java.lang.String']","[16, 24, 24]",64
pt.ist.socialsoftware.edition.text.domain.TextPortion_Base$7.TextPortion_Base$7(),[],[],0
pt.ist.socialsoftware.edition.user.api.dto.UserDto.getUsername(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationModule_Base.initInstance(): void,[],[],0
pt.ist.fenixframework.consistencyPredicates.DomainDependenceRecord_Base.getDependentDomainMetaObject() : pt.ist.fenixframework.DomainMetaObject,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Member_Base$1.Member_Base$1(),[],[],0
pt.ist.socialsoftware.edition.text.domain.ScholarInter_Base.get$oidFragment(): java.lang.Long,[],[],0
"pt.ist.socialsoftware.edition.ldod.frontend.text.TextAdminController.loadTEICorpus(org.springframework.web.servlet.mvc.support.RedirectAttributes, org.springframework.web.multipart.MultipartFile) : java.lang.String","['org.springframework.web.servlet.mvc.support.RedirectAttributes', 'org.springframework.web.multipart.MultipartFile']","[16, 16]",32
pt.ist.fenixframework.adt.bplustree.AbstractNode.checkDisconnected(): void,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.text.FragmentController.handleException(java.lang.Exception): java.lang.String,['java.lang.Exception'],[40],40
pt.ist.socialsoftware.edition.ldod.frontend.utils.dto.EditionDto.getAcronym(): java.lang.String,[],[],0
pt.ist.socialsoftware.edition.text.domain.HandNote_Base.create$allLists(): void,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base$7.VirtualEdition_Base$7(),[],[],0
pt.ist.socialsoftware.edition.text.domain.ManuscriptSource_Base.setColumns(int): void,['int'],[4],4
pt.ist.socialsoftware.edition.text.domain.ExpertEdition_Base.get$obj$state(boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State,['boolean'],[1],1
pt.ist.socialsoftware.edition.game.domain.ClassificationModule_Base.getRelationClassificationModuleHasPlayers(): pt.ist.fenixframework.dml.runtime.DirectRelation,[],[],0
pt.ist.fenixframework.consistencyPredicates.DomainDependenceRecord_Base.get$oidInconsistentPredicate(): java.lang.Long,[],[],0
pt.ist.socialsoftware.edition.text.domain.ManuscriptSource_Base.getHasLdoDLabel(): java.lang.Boolean,[],[],0
pt.ist.socialsoftware.edition.user.domain.Role_Base$2.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.socialsoftware.edition.text.domain.Rend_Base.init$Instance(boolean): void,['boolean'],[1],1
"pt.ist.socialsoftware.edition.ldod.frontend.text.FragmentController.getFragmentWithInterForUrlId(org.springframework.ui.Model, pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession, java.lang.String, java.lang.String) : java.lang.String","['org.springframework.ui.Model', 'pt.ist.socialsoftware.edition.ldod.frontend.user.session.FrontendSession', 'java.lang.String', 'java.lang.String']","[16, 24, 24, 24]",88
pt.ist.socialsoftware.edition.text.domain.TypeNote_Base.init$Instance(boolean): void,['boolean'],[1],1
pt.ist.fenixframework.consistencyPredicates.PublicConsistencyPredicate_Base$1.getInverseRole(): pt.ist.fenixframework.dml.runtime.Role,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.virtual.VirtualEditionController.FEVirtualRequiresInterface,[],[],0
pt.ist.socialsoftware.edition.virtual.domain.VirtualEdition_Base.getPub(): java.lang.Boolean,[],[],0
pt.ist.socialsoftware.edition.game.domain.ClassificationModule.role$$classificationGame,[],[],0
java.lang.String.getBytes(): byte[],[],[],0
pt.ist.socialsoftware.edition.virtual.domain.Taxonomy_Base.setOpenManagement(boolean): void,['boolean'],[1],1
"pt.ist.socialsoftware.edition.virtual.domain.Tag_Base.access$200(pt.ist.socialsoftware.edition.virtual.domain.Tag_Base, boolean): pt.ist.fenixframework.backend.jvstmojb.pstm.OneBoxDomainObject$DO_State","['pt.ist.socialsoftware.edition.virtual.domain.Tag_Base', 'boolean']","[16, 1]",17
pt.ist.socialsoftware.edition.text.domain.SourceInter_Base.checkMultiplicityOfSource(): boolean,[],[],0
pt.ist.socialsoftware.edition.ldod.frontend.virtual.validator.VirtualEditionValidator.validate() : void,[],[],0
